698433035_45	y u scare ny 4
698433035_46	write 11 vine die tomorrow morn
698433035_47	tawni duren arent waitress hooter back tennese
698433035_48	write this 8 vine mum die 8 year
698433035_49	ive
698433035_50	you guy soo fuck hot
698433035_51	ma3termindjim kik
698433035_52	tawni duren kiss anna clenden
698433035_53	this
698433035_54	and realli stupid gracetaylor
698433035_55	write 8 vine mom die 8 year
698433035_56	write 8 vine mom die 8 year
698433035_57	write 8 vine mom die 8 year
698433035_58	write 8 vine mom die 8 year
698433035_59	write 8 vine mom die 8 year
698433035_60	write 8 vine mom die 8 year
698433035_61	ivan barral realli
698433035_62	she buggin
698433035_63	write 8 vine mom die 8 year
698433035_64	oh my god to all the peopl out there who keep write these stupid write 8 vine ur mom die 8
698433035_65	year is get out of control if u see one do not comment it on 8 vine it not real
698433035_66	write 4 vine kill serial killer
698433035_67	tawni duren one greatest viner ever
698433035_68	you did it yay
698433035_69	if dont right 2 vine get visit serial killer 1am kill
698433035_70	stop itit is not true
698433035_71	stop itit si not true
698433035_72	stop itit is not true
698433035_73	alina heggemsn nathali yooeiam utrolig farlig
698433035_74	write 8 vine mom die 8 hour
698433035_75	write 2 vine cerial killer wil kill 1am
698433035_76	write 8 vine mom die 8 hour
698433035_77	xed ilagan justsullivan sara ramirez randomgirl har jordan hipp cornelius brown luci kovalcik ivan barral
698433035_78	whi just whi what is your motiv for do this
698433035_79	knock it off
698433035_80	follow meill make ya smile
698433035_81	write six vine die six year
698433035_82	c h e c k o u t m y v i n e s
698433035_83	it true though
698433035_84	dawn mari dunbar
698433035_85	no
698433035_86	outsid
698433035_87	post ten vine ur mom die year
698433035_88	this
698433035_89	i wore cardigan school today
698433035_90	wow
698433035_91	post ten vine ur mom die year
698433035_92	fake fake fake god angela
698433035_93	courttttttt us ny
698433035_94	haha
698433035_95	lol
698433035_96	kaitlyn mcpherson
698433035_97	where anna clenden name
698433035_98	lol hahah dont yu snapchat anymor tawni
698433035_99	lucki didnt land needl naha
698433035_100	wish i new york hope guy great time
698433036	success spell #successflow theyng
698433036_1	the best one ive seen fam
698433036_2	ight i think tag done
698433036_3	that wat nitti damn
698433036_4	good shit bro
698433036_5	work work work
698433036_6	nitti nune
698433036_7	yo #successflow dead nitti kill eulog lmao
698433036_8	killen em
698433036_9	antonio travi alreadi know thank pimp
698433036_10	fa shoooo hardluck775 princejulius appreci dat
698433036_11	nitti nune dope
698433036_12	impress
698433036_13	preciat love yall kidrobot coachjahlov rixross
698433036_14	special thank to theyng appreci pimp i aint even see u
698433036_15	appreci fam no prob g
698433036_16	nitti nune dope
698433036_17	this sick
698433036_18	murder call 119
698433036_19	yung dreebo lmaooooo119 tho
698433036_20	bryantheblasian yooh awreadi know jonathan o voic
698433036_21	lmao u alreadi know
698433036_22	nitti nune good shit bro
698433036_23	kill bro
698433036_24	just tweet shit
698433036_26	damn you alway deliv
698433036_27	sick ass flow man
698433036_28	revin i miss nigga
698433036_29	freshnica aint even good nigga hahaha thank bruh
698433036_30	it lyric man that i listen
698433036_31	freshnica fa sho nigga hope motiv u lol
698433036_32	hell yea
698433036_33	on fire check new stuff nitti alway point
698433036_34	jazz ejay reason vine unfollow my bad homieand thank
698433036_35	this dope brah
698433036_36	simpli t thank pimp
698433036_37	nitti nune bro the flow strong one
698433036_38	solid vers bro hope see lot
698433036_39	roy martin defin bro stay tune thank watchin
698433036_40	yes nigga
698433036_42	blessupnitti nune
698433036_43	djchrissaydijashotta bryantheblasian thank homi old school haha
698433037_0	first
698433037_1	your pretti omg fml
698433037_4	like
698433037_7	fact
698433037_8	i like song
698433037_9	so prob bad time ask shout ig @bachelorcook lmao kid teambishwhet
698433037_10	your fan one got dont hate
698433037_11	u r damnn pretti ur funni u sing damnn gurl
698433037_12	can i get shout jk jk jk
698433037_13	#icejjfish
698433037_14	emmalani
698433037_15	wow
698433037_16	im talk fan im talk peopl use friend hunter voke shut
698433037_17	you aint black nah nigga bruh
698433037_18	i fuck love heart and angel would cute one toni romiti
698433037_19	lmfao ili
698433037_20	fuk lmfao
698433037_21	i know that right girl
698433037_22	if wrote back ill probobl die floor lmfao tru fan
698433037_23	jus keep doin u doin fuck shout keep doin u nd imma alway support u
698433037_24	wow i think someon hack vine
698433037_26	fuck tooo
698433037_27	well that way lose friendsfan
698433037_28	use n word horribl
698433037_29	she alway act like big shit vine i love music
698433037_30	stfu like y yall d ridin yhu ask world wide wasnt yall move tf
698433037_31	ppl get vine famous act like big dnt speak regular ppl mess sho mor luv
698433037_32	lmao swear somethin tho the wonder vine wack ass song realli think nicki wanna get
698433037_33	you think boss bitch cant sing number two thot
698433037_34	wtf u expect your vine famous
698433037_35	shout
698433037_36	miss willow
698433037_37	girl charg ass send em link paypal email addi vm get paid that what advertis
698433037_38	can i shout
698433037_39	can i shout lol
698433037_40	who want shout like wtf yall dumb mothafuck
698433037_41	yall need stfu yall think bad even watchin vine go someth productivedumb ass
698433037_42	meeshellx3 kimberlyyi
698433037_43	can i shout
698433037_44	your gorgeous
698433037_45	nope say
698433037_47	well fan dont matter bout u accept us go r #immaaskifiw
698433037_48	dude fuck fan least someth make us happi someth made happi bitch
698433037_49	we got think would ever go fuck give fan shout asshol
698433037_50	she fuckin rude thuggirlques
698433037_51	shes mest
698433037_52	lik
698433037_53	lol dang
698433037_54	fuck toni romiti live money get hat shirt crew neck listen song f u
698433037_55	and quick say follow instagram bish whet ass
698433037_57	lol your ugli
698433037_58	all peopl butt hurt bc calm down like tf
698433037_59	that girl funni
698433037_60	nigga fuuuuck im stealin
698433037_61	can i get shout toni romiti
698433037_62	nigga fuuuck you physx
698433037_63	icejjfish
698433037_64	fuck right back pussi rndrt nice day
698433037_65	let get shout
698433037_66	i fell nigga
698433037_67	physx nigga your like 6 lmao get outta
698433037_68	rndrt nigga pleas your bumb kiss dick jerk
698433037_69	hahaha mad nawwwww
698433037_70	lol
698433037_71	lol u aint kid rndrt
698433037_72	to some yall give neget comment toni romiti u dont look vine jeez
698433037_73	peopl shouldnt mad rude
698433037_74	exact
698433038	#vidlab
698433038_0	what song
698433038_1	isnt black op 2
698433038_2	yeah use black op call tri it out skrillex ryan salus joe frischman
698433038_3	oh god that black op 2
698433038_4	matt sgrizzi alex kaufman nick kaufman black op 2 music tho
698433038_5	fuck dumbass ronald cisnero
698433038_6	exact the song black op 2 who feel like dumbass matt sgrizzi ronald cisnero
698433038_7	thank revin maniac
698433038_8	is penn
698433038_9	jack murphi that kent denver colorado
698433038_10	conor dooley
698433038_11	song
698433038_12	id keep goin
698433038_13	what song
698433038_14	this song black op 2 jonluk duley nickvh
698433038_15	it ima tri skrilex
698433038_16	it map plaza
698433038_17	nick nick cannetti black op 2 haha
698433038_18	geno kent
698433038_19	it call imma tri black ops2 jmb sport nickvh
698433038_20	eduardo white hes fuck sick #reppinco
698433038_21	jimmi celano id prob kik throat
698433038_22	it song black op 2
698433038_23	charli ford
698433038_24	zander elli joe rassenfoss your vine famous
698433038_25	cant believ jambon
698433038_26	famousegram app
698433039	ib ohshit tommi lmao #omygod #thuglif #reallynigga #ohdontdoit #nochil #comedi
698433039_0	this shit realli funni
698433039_1	damn
698433039_2	brina
698433039_3	how someon get idea rip
698433039_4	what hell ok
698433039_5	jesus fuck christ alright
698433039_6	i know song forgot call
698433039_7	bodiesdrown pool ashtonsguitarsolo
698433039_8	aryanna
698433039_9	so sad
698433039_10	jenna hk nicol howlett
698433039_11	beyonc sidenigga
698433039_12	u know dead
698433039_13	lanc wagstaff
698433039_14	this even funni sad
698433039_15	omfg
698433039_16	dude dead
698433039_17	lol
698433039_18	lexey kildow
698433039_19	he shouldnt touch
698433039_20	u kno dead
698433039_21	that even funnyh probabl dead
698433039_22	ethan smith
698433039_23	cassi workman noah kelli
698433039_24	aint probali golden girl
698433039_25	killercat
698433039_26	yeah nigga dead
698433039_27	golden girl hes idiot anyway it fault
698433039_28	tay x edit hes idiot anyway it fault
698433039_29	isi powel wtf
698433039_30	holi fuck ok
698433039_31	aapebola i guess right still didnt deserv
698433039_32	golden girl true
698433039_33	damn rip god take soul
698433039_34	rip
698433039_35	#iamsuperrandom stop jake mason chill prankster the krunk krab damn tommi lmao jack okay jack liam walsh
698433039_36	he dead
698433039_37	elizabeth lippoldt
698433040	ugli bitch #teamwildsid
698433040_0	ugli peopl aint even allow laugh
698433040_2	lmaoo
698433040_3	aliyah lmao daniell
698433040_4	brock bro dick look like bit sausag vine hump bed kill twice
698433040_5	makayla bommer
698433040_6	breanna h dang
698433040_7	no vine tho makayla bommer
698433040_8	lhh i thought camill breanna h
698433040_9	lhh appli makayla bommer
698433040_10	this bitch talkin self
698433040_11	mariah mari
698433040_12	wtf look whos talk goood god hate bitch passion
698433040_13	peopl say look yu judg other
698433040_14	nas officialmaz awwww go tell yall 3 follow yall faggi feel boo hoo bitch boy
698433040_15	jaley dont suck dick hard bitch
698433040_16	these ugli peopl feel type way
698433040_17	deeznut yes defend death
698433040_18	comment doee
698433040_19	rambo look lol
698433040_20	deeznut look
698433040_21	jonnmarley look son
698433040_22	u cute hun
698433040_23	i dont understand like bro u hate bitch passion u watchin vine thoughil wait
698433040_24	lovejy3 u talkin meor consulleo
698433040_25	jaley sweeti yuh talm bout cooder mani vine support ya comment o humbl
698433040_26	im talk officialmaz u boo girl pleas
698433040_27	lovejy3 bitch get fat ass shit pudgi bitch go follow fuck outta
698433040_28	chae llssssssssss thank chewwwwww
698433040_29	lovejy3 caus bitch girl pleas fake side foh
698433040_30	girl pleas day later aggi
698433040_31	lovejy3 mean u r pretti cool
698433040_32	i aint nobodi side i sayin hate u much watchin yo vine hmmm get yo fact straightcood
698433040_33	lovejy3 like i said get camel hump ass join block crew
698433040_34	these comment peopl realli get feel
698433040_35	you might wanna take peopl look but gorgeous ugli accept hell
698433040_36	fadazia anybodi can pull up just be readi for what come out my door never lack abd thank boo
698433040_37	fadazia look lls i said noth wrong im talk peopl whos mad
698433040_38	kiya lol she talk bout boo
698433040_39	oh ok lls
698433040_40	ugli bitch must offend cooder
698433040_41	squad shyt fck ugli bitch
698433040_42	officialmaz whyre check tf
698433040_43	cooder got lot peopl salti yaaa boo
698433040_44	im fuck weak yall wanna call cooder ugli but yall stay revin shit get yall live togeth
698433040_46	like damn im prettiest world yall piss didnt even address yall foh
698433040_47	cooder look hoe ass bed humpin ass peopl tri remind petti af
698433040_48	dang
698433040_49	yall crazi lol everybodi know guilti parti alway speak first cooder
698433040_50	these kid salti af lls said ugli peopl aint tag none yah hate ass cooder pretti af
698433040_52	yuliet tamayo
698433040_53	cooder viner actual repli hater you guy honor
698433040_54	cooder dez salti ass hoe aint good fa ya blood pressur nd tf dey lurk
698433040_55	cooder u shouldnt worri ugli ass hoesjuss hit
698433040_56	the next person comment rude mean dumb shit hit u madd brocood
698433040_58	nuala uzo
698433040_59	unapologet
698433040_60	happen ugli ratchet video pop feed soon start talk disgust
698433040_61	horribl retch creatur god layd upon us
698433040_62	follow dont matter bitch let see littl follow ar time neex
698433040_63	girl tht sooo trueee
698433040_64	these angri ass peopl ctfuu mad asf
698433040_65	fact mad took shit heart
698433040_66	desire epp
698433040_67	bitch aint either imma need take sever seat
698433040_68	onli godson bye ugli entertain 2 buddi
698433040_69	get camel hump ass im fuck cri shit hilari
698433040_70	officialmaz shoupd draw pictur feel ya kno help u deal wit anger
698433040_71	but ugli though cooder
698433040_72	your fuck beauti cooder
698433040_73	thank babi brendasiathequeen
698433040_74	loveee ugli ass kid vine explain exact blockkkkkk
698433040_75	officialmaz are mad you sound mad
698433040_76	ima laugh yo ass turn ugli
698433040_77	officialmaz still watch must enjoy dont like vine scroll fuck
698433040_78	andrew johnnytvng
698433040_79	smmfh u stupid shiiiiiittt
698433040_80	oh god yall mad ugli peopl get mad i may gorgeous like cooder damn yall mad or nah
698433040_81	deitraaaaaa shut yo ass
698433040_82	yoo calm serious #cooder was play damn chill lmao #
698433040_83	nigga cant even spell tf
698433040_84	officialmaz
698433040_85	dweeb what school go
698433040_87	kayla bibb
698433040_88	dweeb bye bitch
698433040_89	omg comment got die
698433040_90	jasmin
698433040_91	dfl that feel madison utterback
698433040_92	enyea park
698433040_93	nikayla
698433041	tonight friday
698433041_0	first
698433041_1	second
698433041_2	thirteenth
698433041_3	third
698433041_4	fourth
698433041_5	69th
698433041_6	696969696969th
698433041_7	heidi
698433041_8	im tonight
698433041_9	write 8 vine mom die 8 day
698433041_10	is like fatti friday someth
698433041_11	write 8 vine mom die 8 year
698433041_12	write eight vine mom die eight year
698433041_13	the one black soo hot
698433041_14	write 8 vine i dont give fuck
698433041_15	write 8 vine mom die 8 year
698433041_16	brice gordon patrick kurcz braxtonbourg hunter janeck all stupid motherfuck
698433041_17	ew
698433041_18	write 8 vine u die a hour
698433041_19	write 8 vine mom die 8 year
698433041_20	taylor blattel trabecca
698433041_21	write 8 vine mom die 8 year
698433041_22	write 8 vine mom die eight year
698433041_23	write 8 vine mom die 8 year
698433041_24	u chain comment retard
698433041_25	fuckin retard
698433041_26	write 2 vine 1 u visit serial killer
698433041_27	caleb mattila
698433041_28	ahhhno jev nooo
698433041_29	write 8 vine mom die 8 year
698433041_30	shut go get life @casperz
698433042	he aint want look more instagram josiahjenkin
698433042_0	what dick
698433042_1	that ignor fuck the hell wrong
698433042_2	that rude
698433042_3	it wasnt funni
698433042_4	you ugliest person fuckin god dam planet
698433042_5	you follow twitter omg thank you
698433042_6	jenna brown
698433042_7	dmoney86
698433042_8	your fuck disrespect horribl think man felt wanker
698433042_9	landon singletari show half face look like demon
698433042_10	landon singletari demoy
698433042_11	hannah smith
698433042_12	that dumb shit old r yu 11
698433042_13	oh hell nah
698433042_14	carlo misael magallon
698433042_15	ass hole could b yo dad shhhiiitt
698433042_16	fag
698433042_17	id punch squar fuck nose
698433042_18	kaitlyn leeann
698433042_19	riley bowdoin
698433042_20	lol look like punch u
698433042_21	hes obvious pee incompet taken
698433042_22	look big fore head end
698433042_23	tyler porth
698433042_24	karol camarena
698433042_26	gay
698433042_27	you think funni dick
698433042_28	this get ridiculousnot even funni illeg record someon expos
698433042_29	but hey anyth like stupid kid
698433042_30	derrick ruck
698433042_31	take piss fuck
698433042_32	yung poppi get tag fam
698433042_33	was suppos funni
698433042_34	roberto gil oscar salgado jajajajajaja
698433042_35	blake tharp
698433042_36	juliana culbertson
698433042_37	see my cover pleasethank ujosiah jenkin
698433042_38	realli this funni come
698433042_39	this nigga gotta ponytail lmfao
698433042_40	nigga anit funni u must gay mess man pee tf
698433042_41	i wish man could turn around piss u would funni lol
698433042_42	not cool not funni
698433042_43	leav poor man busi
698433042_44	not realli funni
698433042_45	olivia ewe
698433042_47	cameron lane fisher hector resendiz
698433042_48	mayb fuck pee leav man pee piec without bug death
698433042_49	ajajajajaj celina nicol
698433042_50	tylerbkd
698433042_51	this dude fuck annoy
698433042_52	kelli gerrish omg look like jaumon
698433042_53	pleas follow insta usernam magconboysinsta pleas follow daili magcon stuff
698433042_54	vanessa pancak husband
698433042_55	you wrong lmao bahahahah
698433042_56	u want turn around pee someth
698433042_57	gay ass
698433042_59	matt hahahahaha
698433042_60	hes like chuckin piss lemmi alon
698433042_61	these comment tho kyla diamond
698433042_62	wtf
698433042_63	nasti
698433042_64	im take waz what look like
698433042_65	lol bun head lol
698433042_66	this guy pathet
698433042_67	leav alon
698433042_68	think funni man
698433042_69	he doesnt want look
698433042_70	english dumbass
698433042_71	u gay
698433042_72	i hate peopl comment take shit wayi tooooo serious
698433042_73	mayb wasnt look romiti gang i agre jacob
698433042_74	that rude funni
698433042_75	anthoni salgado
698433042_76	that mean funni
698433042_77	all yall bitch shut josiah boss
698433042_78	charl brucalier
698433042_79	he tri hard
698433042_80	billal cerimov shud go quiktrip lmaoo
698433042_81	whi would u mess w man takin piss guess josiah want
698433042_82	imagin guy turn around start piss
698433042_83	lmfaoyassbishyass
698433042_84	julissa right i think
698433042_85	philip roy wilkinson hind jr andr hind lol
698433042_86	you stupid
698433042_87	lol
698433042_89	jalen lil terri 51
698433042_90	4 real doe like rli dxpe
698433042_91	ilim3169
698433042_92	cdfu weirdo
698433042_93	dude that gay talk nigga wile take leak
698433042_94	that gay taken guy court
698433042_95	lol one day someon gone get mad af go tf make sure record
698433042_96	john frandano
698433042_97	skylar w
698433042_98	im mad touch doe
698433042_99	ilim3169
698433042_100	becaus probabl fucken shit penia
698433042_101	gay
698433042_102	mayb your speak english
698433042_103	hes pee r u gay someth
698433042_104	whi tho like scare man half death
698433042_105	dhhxhknbcffvvjjjzzzzffzzz yea i spend money ur g friend love u broke ass nigger flea
698433042_106	hes pee
698433042_107	dhhxhknbcffvvjjjzzzzffzzz hey monkey go get ur flea bath
698433042_108	nigga sus obe
698433042_109	this faggot tri hard funni
698433042_110	victor g ornela jajajaja ese cabron se la mamo
698433042_111	jessy3d
698433042_112	could let man pee peac
698433042_113	sarah mari
698433042_114	this nigga ugli af
698433042_115	keep ask hes cant u see hes pee
698433042_116	haha leav alon your mean
698433042_117	privat vine download vinerol
698433042_118	that extrem rude
698433042_119	that rude what wrong not remot funni either cours hes gonna look camera vine
698433042_120	victoria lanni
698433042_121	fuck nigger trynna funni err bruh wtf dumbass
698433042_122	stupid rude
698433042_123	hes take piss faggot
698433042_124	i bet man wouldv panti twist
698433042_125	madi larson
698433042_126	that fuck rude idiot not funni fag
698433042_127	kevin tirado
698433042_128	your fuckin retard
698433042_129	loser app i swear
698433042_130	i wish guy would turn around punch
698433042_131	tyler ferned meka ibeh
698433042_132	elizabeth green
698433042_133	would quiet zip trouser knock guy tf
698433042_134	you aint shit
698433042_135	your funni annoy littl kid respect fuck fool
698433042_136	racheal smith someth i would
698433042_137	you repres wrong human go fuck
698433042_138	not sure um i think hes take piss i dont know
698433042_139	dana quail
698433042_140	wtf pervert nasti kid
698433042_141	gross
698433042_142	tiffani
698433042_143	ha gayyyyy
698433042_144	jus let u kno harri johnson im girl im gay get rite im wit convo goodbyeu racist person
698433042_145	real talk wouldv start punch
698433042_146	that realli gross
698433042_147	that fuck gay
698433042_148	henri johnson im year
698433042_149	omg josiah jenkin ur lucki u didnt get hit lol but u gut ur rli funni
698433042_150	dude need leav alon
698433042_151	gay
698433042_152	stupid ass nigger
698433042_153	he aint want look bish wha
698433042_154	how annoy
698433042_155	uh that fuck obnoxi rude disrespect disgust mani thing fuck stupid kid
698433042_156	josiah jenkin know film peopl bathroom illeg right
698433042_157	justin lang
698433042_158	i dont like i wouldv punch immedi
698433042_159	cool men
698433042_160	calvin
698433042_161	hey guy plz go follow take look vine would mean lot thank 3
698433042_162	i bet love dumb nigger tri talktak video your piss right
698433042_163	rude
698433042_165	wow racist ahh matt
698433042_166	wtf wrong i know tri get attent sad
698433042_167	andrea garay davila
698433042_168	eye red fuck
698433042_169	would anyon
698433042_170	justin rittmey
698433042_171	kenneth munoz
698433042_172	i would piss leg
698433042_173	magda woldu jasmin araya niyat tesfagabr sahra nur
698433042_174	what kind dude record anoth man bathroom
698433042_175	that wack lol flex
698433042_176	deni hoy
698433042_177	nick simonich
698433042_178	that kinda rude
698433042_179	he shit head annoy
698433042_180	dude fuck man
698433042_181	he didnt want look
698433042_182	alli semrau
698433042_183	he take piss
698433042_184	he peer
698433042_185	or take loss
698433042_186	ur faggot
698433042_187	not hater whatev that kinda illeg lmao
698433042_188	todd buchanan dylan carl
698433042_189	dude vid make u look like fag
698433042_190	cwir
698433042_191	ann mari fernand
698433042_192	the dude like crap
698433042_193	molli riordan
698433042_194	that annoy
698433042_195	na much
698433042_196	he piss u
698433042_197	liset soriano
698433042_198	i doubl take namemi babi cousin josiah jenkin
698433042_199	hannah maruhnich
698433042_200	first
698433042_201	second lol
698433042_202	smh harass
698433042_203	4th
698433042_204	it say aint want look lol
698433042_207	to much bro much haha
698433042_208	that good way get ass beat
698433042_209	ur rude
698433042_210	i turn still pee i pee hahaha
698433042_211	lol thought go beat someth
698433042_212	deja meat agusto pinch bato joto
698433042_213	mear
698433042_214	rasur cabron
698433042_216	u look stone
698433042_217	hes obvious pee
698433042_218	that hoe ass shit
698433042_219	whi would u gay shit bro
698433042_220	mad fuck retard get lofe
698433042_221	goofi nigger
698433042_222	life
698433042_223	best vine of the year 2424
698433042_224	harri johnson ur reallyracist dafuck dou mean goofynigg if isaw uin street lwould whoopur crackerwhit assbitch
698433042_225	you like dont #hagaaaaaaaaaaaayyyyyyyyyyyyyi
698433042_227	dhhxhknbcffvvjjjzzzzffzzz u greasi nigger i would love c ur broke ass i would throw penni u monkey mf
698433042_228	dhhxhknbcffvvjjjzzzzffzzz u b nice porch monkey i pay tax i help rais ur non workin welfar ass u ashi mf
698433042_229	pleas get rid shit top yo head
698433042_230	harri johnson suck ball white cracker hoe get vine stupid nasti cock go fuck nasti old shit fuck
698433042_231	dont click name
698433042_232	headchieff nigger shouldnt u b stealin somethin dark aint yinz come
698433042_233	fuck annoy littl shit i hope punch shit ps probabl bigger duck
698433042_234	joshua sanderson
698433043	just thot mine
698433043_0	dbnoc sweeti okay you dont need use big word dont know mean dont hurt
698433043_1	angus dodd ashley translat men support someth benefit
698433043_2	ashley i like total agre feminist fist bump also awesom profil pictur
698433043_3	woman use reproduc
698433043_4	angus dodd
698433043_5	angus dodd actual men get pregnant deliv healthi babi
698433043_6	ashley prob
698433043_7	the broken inventor total untru
698433043_8	angus dodd well 8 year old boy like wouldnt know adult doctor like would hush littl boy
698433043_9	bizzi ward
698433043_10	robert paoli robert paoli robert paoli
698433043_11	omg yaaaaasss someon agre final xd
698433043_12	noth wrong gay peopl say gay okay doesnt make gay im straight
698433043_13	and ill alway support till i die
698433043_14	fabiana trujillo
698433043_15	thank you final someon with logic
698433043_16	amen
698433043_17	i jus sc u is u
698433043_18	or naw
698433043_19	fag
698433043_20	shit fuck get life dick face david boley
698433043_21	ikr you cant someth jack
698433043_22	lesbian dont dick doe
698433043_23	mind blown zack heeter
698433043_24	god made adam eve adam evan
698433043_25	hannah k i realli hope kid bc i would beat ass right
698433043_26	it make perfect sens guy like women put two hot women togetherawesom
698433043_27	if dont like gay that fine everi one aloud feel toward i think wrong
698433043_28	i dont like gay im go make fun face cours ill say aw joke though
698433043_29	jack hanlon omg omg i have said this 573251414263 time wooow
698433043_30	samuel j a
698433043_31	kendra heagney lmao that true
698433043_32	retard
698433043_33	most say gay wrong tri justifi lesbian porn lesbian gay if say gay wrong
698433043_34	then shouldnt tri stick lesbian porn lol
698433043_35	kevin 2 women u put togetherha interest
698433043_36	celin svendsen
698433043_37	are gay
698433043_38	everyon equalw ment love hatedwhat 2bc ova
698433043_39	madison
698433043_40	becaus lesbian hot watch i dont give fuck theyr interest theyr hot watch
698433043_42	becaus straight guy fuck douchebag love fetish lesbian instead actual respect
698433043_43	im gay the like watch girl period girl girl girl guy focus girl not guy that
698433043_44	it noth gay it gender watch girl attract per se
698433043_45	straight men sexual arous two women two guy becaus straight guy like women especi
698433043_46	lesbian porn
698433043_47	bahahaha oh gosh true funni
698433043_48	fag
698433043_49	look mani guy watch porn your disgust instead dark room comput go get
698433043_50	thank you
698433043_51	zack heeter litteralllli discuss one teacher month ago
698433043_52	haha there realli big differ 2
698433043_53	whi u say shit realli make u feel good david boley u realli get life
698433043_54	nina darci
698433043_55	brendan rasa actual concept exact you right bash gay men enjoy gay women
698433043_56	im lesbian baffl i dont get logic zack wise ador guy
698433043_57	cuz dont like see dick porn
698433043_58	aryasp nejat im bash anyon dont call i didnt even bash gay men
698433043_59	aryasp nejat like cullen pott said straight guy like 2 women obvious 2 guy yes differ
698433043_60	melani allison gillet stfu girl watch porn complet normal watch enjoy gtfo
698433043_61	remind lauren gordon
698433043_62	tymaz porn watch dont show dick
698433043_63	kayla reed dude i love guy
698433043_64	serious lauren gordon
698433043_65	cuz tit not dick situat clarifi
698433043_66	eric steven yeah hes say peopl homophob toward gay guy lesbian i think anyway
698433043_67	wow this world fuck just read comment uhummm karina dont worri bout bitch pink2
698433043_68	jame excus did u call bitch look fuck faggot
698433043_69	karina quit tag i aint life argu life learn stick nose other busi
698433043_70	doubl tit doubl dick ill take doubl tit
698433043_71	omg sooooo truuuee #hardtruth
698433043_72	pink2 k dont care never fuck tell someon kill
698433043_73	i know right it stupid like straight girl hate lesbian go awwwwww see gay coupl irk
698433043_74	becaus hotter guy see two girl mess around
698433043_75	alaina comer i fuck gonna fuck ratchet u involv
698433043_76	jame talk u get fuck u wanna get argument random peopl
698433043_77	jame dont even profil pic probabl look ugli shit
698433043_78	caelannn u get involv like fuck dont stick nose other busi
698433043_79	caelannn solv problem dont leav u fuck bitch
698433043_80	caelannn leav stop bitch
698433043_81	jame leav u pathet douch
698433043_82	caelannn argument like 2 month ago till shitti white ass come bring
698433043_83	caelannn im pretti sure 5 year old dont swear go vine dont say act like one
698433043_84	pink2 act like nobodi see comment section everybodi busi
698433043_85	mami k yea i agre everybodi see doesnt mean everybodi involv
698433043_86	actual peopl quit tag argument like 32 month ago annoy like fuck
698433043_87	pink2 bro fuck
698433043_88	matt
698433043_89	the planetari devast
698433043_90	emili bakken lesbian
698433043_91	famousgram app
698433043_92	codi adam guy guygay girl girlgay get thick fuck skull
698433043_93	brooklyn ferguson straight guy like girl duh gay guy like guy that work
698433043_94	codi adam obvious straight guy like girl but claim hate gay watch lesbian porn
698433043_95	gay make sens
698433043_96	brooklyn ferguson stfu
698433043_97	mackenzi id rather and werent convo begin cant realli tell stfu
698433043_98	dude your cunt brooklyn ferguson
698433043_99	mackenzi aw thank it mean lot consid dont even know
698433043_100	kendal spearzzz bitch shes inspir least i pic unlik ur fake ass
698433043_101	kendal spearzzz ur mom hoe ur whole famili generat
698433043_102	kendal spearzzz i talk anoth girl u decid throw like bitch where tf dif u come
698433043_103	kendal spearzzz therefor ur mind ur buis
698433043_104	karina ur annoy ur dad shouldv pull
698433043_105	karina learn speak u shit
698433043_106	karina bitch like u shouldnt aliv
698433043_107	karina ur fake u differ person ur profil
698433043_108	karina u cuz ur ugli
698433043_109	karina stop bitch everyon
698433043_110	karina i fuck yo ass i swear
698433043_111	karina u dont even know ur talk
698433043_112	kendal spearzzz thank love
698433043_113	karina look u dont know fuck u care
698433043_114	karina i write comment much i want
698433043_115	karina call peopl fake u urself dont pictur ur face
698433043_116	karina bitch call peopl fake smh
698433043_117	karina fuck
698433043_118	karina ur like 8 year old
698433043_119	karina u dont even know spell
698433043_120	karina dont start shit with me
698433043_121	karina go kill urself one even like u whore
698433043_122	karina done u bye hoe
698433043_123	fight
698433043_124	karina bitch dont even know spell buy fuck dictionari learn vocabulari grammar
698433043_125	karina mayb u werent bitch would talk
698433043_126	pink2 realli sinc u think us soo tough shitt lemm see u make move bitch
698433043_127	kendal spearzzz stfu lmaoooo dnt tell fuck auto correct get ur fuck fact straight
698433043_128	kendal spearzzz pink2you guy must be realyy boerd
698433043_129	karina bitch lie autocorrect doesnt make word dnt boerd sinc those arent even word dumb bitch
698433043_130	karina u dont know mom dont call hoe obvious mom didnt rais right
698433043_131	karina peac bitch
698433043_132	kendal spearzzz your soo cute and wtf are u say i never fuck call ur mom a hoe littl dumb bitch
698433043_133	kendal spearzzz pleas get ur fact straight next time
698433043_134	karina bitch clear get fact straight
698433043_135	kendal spearzzz im good babe
698433043_136	kendal spearzzz omg u like leav fuck annoy
698433043_137	karina bitch get shit straight togeth els imma show u
698433043_138	karina i wont make move cuz i feel bad hun
698433043_139	karina i leav cuz annoy hell
698433043_140	karina bye bitch
698433043_141	karina yes u fuck call mom kendal spearzzz mom hoe
698433043_142	i guess know gay
698433043_143	karina you start shit im annoy font tag my fuck name dumb blond bitch
698433043_144	karina get life dont talk shit other internet
698433043_145	karina peac out whore
698433043_146	your queer dude
698433043_147	thought ilysfm
698433043_148	no ironi
698433043_149	write 2 vine mom die 1
